mal_id,title_japanese,type,episodes,score,scored_by,rank,year,url
52991,葬送のフリーレン,TV,28,9.3,683636,1,2023,https://myanimelist.net/anime/52991/Sousou_no_Frieren
5114,鋼の錬金術師 FULLMETAL ALCHEMIST,TV,64,9.1,2226749,2,2009,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
9253,STEINS;GATE,TV,24,9.07,1469695,3,2011,https://myanimelist.net/anime/9253/Steins_Gate
38524,進撃の巨人 Season3 Part.2,TV,10,9.05,1704124,4,2019,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
28977,銀魂°,TV,51,9.05,264623,5,2015,https://myanimelist.net/anime/28977/Gintama°
60022,ONE PIECE FAN LETTER,TV Special,1,9.04,84861,7,,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter
39486,銀魂 THE FINAL,Movie,1,9.04,81039,6,,https://myanimelist.net/anime/39486/Gintama__The_Final
11061,HUNTER×HUNTER（ハンター×ハンター）,TV,148,9.03,1886884,8,2011,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9969,銀魂',TV,51,9.02,249703,9,2011,https://myanimelist.net/anime/9969/Gintama
15417,銀魂' 延長戦,TV,13,9.02,174118,10,2012,https://myanimelist.net/anime/15417/Gintama__Enchousen
820,銀河英雄伝説,OVA,110,9.01,84395,11,,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
41467,BLEACH 千年血戦篇,TV,13,8.99,342588,12,2022,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
34096,銀魂。,TV,12,8.98,154750,13,2017,https://myanimelist.net/anime/34096/Gintama
43608,かぐや様は告らせたい-ウルトラロマンティック-,TV,13,8.98,589955,14,2022,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
42938,フルーツバスケット The Final,TV,13,8.95,263789,15,2021,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
4181,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,TV,24,8.93,683269,16,2008,https://myanimelist.net/anime/4181/Clannad__After_Story
918,銀魂,TV,201,8.93,413001,17,2006,https://myanimelist.net/anime/918/Gintama
28851,聲の形,Movie,1,8.93,1717786,18,,https://myanimelist.net/anime/28851/Koe_no_Katachi
2904,コードギアス 反逆のルルーシュ R2,TV,25,8.91,1252767,19,2008,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
35180,3月のライオン 第2シリーズ,TV,22,8.9,209430,20,2017,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
15335,劇場版 銀魂 完結篇 万事屋よ永遠なれ,Movie,1,8.9,141304,21,,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
58514,薬屋のひとりごと 第2期,TV,24,8.89,76320,22,2025,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season
